movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
widows,Crime Thriller,Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Steve McQueen Viola Davis Michelle Rodriguez Elizabeth Debicki Crime Thriller
instant family,Comedy Drama,Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner,Sean Anders Mark Wahlberg Rose Byrne Isabela Moner Comedy Drama
ralph breaks the internet,Family Animation Comedy Adventure,"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,"Rich Moore, Phil Johnston John C. Reilly Sarah Silverman Gal Gadot Family Animation Comedy Adventure"
creed ii,Drama,Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Steven Caple Jr. Michael B. Jordan Sylvester Stallone Tessa Thompson Drama
green book,Drama Comedy Music,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Peter Farrelly Viggo Mortensen Mahershala Ali Linda Cardellini Drama Comedy Music
robin hood,Adventure Action Thriller,Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Otto Bathurst Taron Egerton Jamie Foxx Ben Mendelsohn Adventure Action Thriller
roma,Drama,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Alfonso Cuarón Yalitza Aparicio Marina de Tavira Fernando Grediaga Drama
the favourite,History Drama Comedy,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Yorgos Lanthimos Olivia Colman Emma Stone Rachel Weisz History Drama Comedy
mowgli: legend of the jungle,Adventure Drama,Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Andy Serkis Rohan Chand Christian Bale Cate Blanchett Adventure Drama
the possession of hannah grace,Horror Drama,Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Diederik van Rooijen Shay Mitchell Grey Damon Kirby Johnson Horror Drama
anna and the apocalypse,Horror Comedy Fantasy,John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,John McPhail Ella Hunt Malcolm Cumming Marli Siu Horror Comedy Fantasy
capernaum,Drama,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Nadine Labaki Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Drama
mary queen of scots,Drama History,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Josie Rourke Saoirse Ronan Margot Robbie Jack Lowden Drama History
